,country,year,status,life_expectancy,adult_mortality,infant_deaths,percentage_expenditure,measles,bmi,under_five_death,hiv_aids,gdp,population,schooling,current_amount
0,afghanistan,2000,Developing,54.8,321.0,88,10.42496,6532,12.2,122.0,0.1,114.56,293756.0,6.0,54072046.0
1,afghanistan,2001,Developing,55.3,316.0,88,10.5747282,8762,12.6,122.0,0.1,117.49698000000001,2966463.0,6.0,132725398.0
2,afghanistan,2002,Developing,56.2,3.0,88,16.88735091,2486,13.0,122.0,0.1,187.84595,21979923.0,6.0,908765271.0
3,afghanistan,2003,Developing,56.7,295.0,87,11.08905273,798,13.4,122.0,0.1,198.7285436,2364851.0,7.0,1687162336.0
4,afghanistan,2004,Developing,57.0,293.0,87,15.29606643,466,13.8,120.0,0.1,219.1413528,24118979.0,7.0,3180036437.0
5,afghanistan,2005,Developing,57.3,291.0,85,1.388647732,1296,14.2,118.0,0.1,25.2941299,257798.0,8.0,3391288720.0
6,afghanistan,2006,Developing,57.3,295.0,84,17.17151751,1990,14.7,116.0,0.1,272.56377000000003,2589345.0,8.0,6361362262.0
7,afghanistan,2007,Developing,57.5,295.0,82,10.91015598,1141,15.2,113.0,0.1,369.835796,26616792.0,8.0,9880702710.0
8,afghanistan,2008,Developing,58.1,287.0,80,25.87392536,1599,15.7,110.0,0.1,373.3611163,2729431.0,9.0,17192973299.0
9,afghanistan,2009,Developing,58.6,281.0,77,56.76221682,2861,16.2,106.0,0.1,445.89329789999994,284331.0,9.0,17524720952.0
10,afghanistan,2010,Developing,58.8,279.0,74,79.67936736,1989,16.7,102.0,0.1,553.32894,2883167.0,9.0,18715127253.0
11,afghanistan,2011,Developing,59.2,275.0,71,7.097108703,3013,17.2,97.0,0.1,63.537231000000006,2978599.0,10.0,24866612096.0
12,afghanistan,2012,Developing,59.5,272.0,69,78.18421529999999,2787,17.6,93.0,0.1,669.959,3696958.0,10.0,23204388624.0
13,afghanistan,2013,Developing,59.9,268.0,66,73.21924272,430,18.1,89.0,0.1,631.744976,31731688.0,10.0,19699104433.0
14,afghanistan,2014,Developing,59.9,271.0,64,73.52358168,492,18.6,86.0,0.1,612.696514,327582.0,10.0,14333709394.0
15,afghanistan,2015,Developing,65.0,263.0,62,71.27962362,1154,19.1,83.0,0.1,584.2592099999999,33736494.0,10.0,17235710211.0
16,albania,2000,Developing,72.6,11.0,1,91.71154052,662,45.0,1.0,0.1,1175.7889810000001,38927.0,11.0,72340496.0
17,albania,2001,Developing,73.6,14.0,1,96.20557078,18,46.0,1.0,0.1,1326.97339,36173.0,11.0,97433011.0
18,albania,2002,Developing,73.3,15.0,1,104.5169157,16,46.9,1.0,0.1,1453.642777,3511.0,11.0,100045298.0
19,albania,2003,Developing,72.8,18.0,1,14.71928882,8,47.9,1.0,0.1,189.681557,339616.0,11.0,103680875.0
20,albania,2004,Developing,73.0,17.0,1,221.8428,7,48.9,1.0,0.1,2416.588235,326939.0,11.0,120655048.0
21,albania,2005,Developing,73.5,15.0,1,26.99312143,6,49.9,1.0,0.1,279.14293100000003,311487.0,11.0,91320957.0
22,albania,2006,Developing,74.2,99.0,1,3.3021542,68,5.8,1.0,0.1,35.1293,2992547.0,11.0,102205453.0
23,albania,2007,Developing,75.9,9.0,1,32.24655228,22,51.7,1.0,0.1,363.13685,29717.0,12.0,76480032.0
24,albania,2008,Developing,75.3,1.0,1,36.62206845,0,52.6,1.0,0.1,437.539647,2947314.0,12.0,70823241.0
25,albania,2009,Developing,76.1,91.0,1,348.0559517,0,53.5,1.0,0.1,4114.136545,2927519.0,12.0,92230293.0
26,albania,2010,Developing,76.2,91.0,1,41.82275719,10,54.3,1.0,0.1,494.358832,291321.0,13.0,74225539.0
27,albania,2011,Developing,76.6,88.0,0,437.0621,28,55.1,1.0,0.1,4437.17868,295195.0,13.0,61221199.0
28,albania,2012,Developing,76.9,86.0,0,412.4433563,9,55.8,1.0,0.1,4247.61438,2941.0,14.0,64851395.0
29,albania,2013,Developing,77.2,84.0,0,430.8769785,0,56.5,1.0,0.1,4414.72314,289592.0,14.0,57416429.0
30,albania,2014,Developing,77.5,8.0,0,428.74906680000004,0,57.2,1.0,0.1,4575.763787,288914.0,14.0,52210481.0
31,albania,2015,Developing,77.8,74.0,0,364.9752287,0,58.0,0.0,0.1,3954.22783,28873.0,14.0,51162961.0
32,algeria,2000,Developing,71.3,145.0,21,154.4559436,0,44.4,25.0,0.1,1757.17797,3118366.0,11.0,1199673.0
33,algeria,2001,Developing,71.4,145.0,20,147.98607140000001,2686,45.3,24.0,0.1,1732.857979,31592153.0,11.0,3386202.0
34,algeria,2002,Developing,71.6,145.0,20,148.51198430000002,5862,46.1,23.0,0.1,1774.33673,3199546.0,11.0,7360354.0
35,algeria,2003,Developing,71.7,146.0,20,25.0185226,15374,47.0,23.0,0.1,294.33556,3243514.0,12.0,7410067.0
36,algeria,2004,Developing,72.3,14.0,19,220.39369900000003,3289,47.9,23.0,0.1,2598.9823,3283196.0,12.0,8141900.0
37,algeria,2005,Developing,72.9,136.0,19,2.5489227580000002,2302,48.9,22.0,0.1,31.122378,33288437.0,12.0,4951771.0
38,algeria,2006,Developing,73.4,132.0,20,270.24019619999996,944,49.8,23.0,0.1,3464.6179,33777915.0,12.0,5228942.0
39,algeria,2007,Developing,73.8,129.0,20,320.32392410000006,0,5.8,23.0,0.1,3935.183343,34376.0,12.0,9057333.0
40,algeria,2008,Developing,74.1,126.0,20,43.08717334,217,51.8,23.0,0.1,495.254866,3486715.0,13.0,22504246.0
41,algeria,2009,Developing,74.4,123.0,20,352.0636419,107,52.8,23.0,0.1,3868.83123,3546576.0,13.0,21114660.0
